id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
479863,CS,,,PreservedSpecimen,6a41c95e-ec6a-439c-b6b0-c8fd6644f6c5,112554,33247,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"W Ferril",,,1902-07-12,,1902,7,12,193,,"12 Jul 1902",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"El Paso County",,Manitou,,0,,38.85,-104.91,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:45",12413,30,6a41c95e-ec6a-439c-b6b0-c8fd6644f6c5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479863
479864,CS,,,PreservedSpecimen,f4ecae9b-826a-46de-bb19-5a7c5eba4155,112540,21686,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"J Cowen",,,1897-09-10,,1897,9,10,253,,"10 Sep 1897",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"El Paso County",,"Palmer Lake",,0,,39.12,-104.91,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:45",12399,30,f4ecae9b-826a-46de-bb19-5a7c5eba4155,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479864
479865,CS,,,PreservedSpecimen,3b5825d0-aace-47bd-b0ad-e3e68a1b683e,112539,21687,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"J Cowen",,,1897-09-10,,1897,9,10,253,,"10 Sep 1897",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"El Paso County",,"Palmer Lake",,0,,39.12,-104.91,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:45",12398,30,3b5825d0-aace-47bd-b0ad-e3e68a1b683e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479865
479866,CS,,,PreservedSpecimen,b17d8dde-5651-467d-ad97-b9a77932beb3,112550,5001,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"T John 66",,,1977-08-03,,1977,8,3,215,,"3 Aug 1977",,"sandy rocky soil",,,,,,,,,,,"Pinus ponderosa",,,,,,1,,,,,,,,"United States",US,Colorado,"Elbert County",,"Peaceful Valley Scout Ranch, 3 mi S of Elbert",,0,,39.17,-104.53,WGS84,,,,,,,,2150,,,,,7054ft.,,en,,"2017-01-16 20:44:45",12409,30,b17d8dde-5651-467d-ad97-b9a77932beb3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479866
479867,CS,,,PreservedSpecimen,9342889c-8d2f-4277-92ba-7f1406dfe7cb,112509,68707,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"W Kelley & S Sigstedt 82-75",,,1982-07-08,,1982,7,8,189,,"8 Jul 1982",,slope,,,,,,,,,,,"Quercus, Pseudotsuga",,,,,,1,,,,,,,,"United States",US,Colorado,"Garfield County",,"Cow Ck, 1.5 mi SE of jct of Cow Ck & W Branch Cow Ck",,0,,39.68,-107.96,WGS84,,,,,,,,2316,,,,,7599ft.,,en,,"2017-01-16 20:44:44",12369,30,9342889c-8d2f-4277-92ba-7f1406dfe7cb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479867
479868,CS,,,PreservedSpecimen,1dba371b-8236-428d-a12c-60539f42b6e1,112494,66384,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"P Nicholas 210",,,1981-07-17,,1981,7,17,198,,"17 Jul 1981",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Garfield County",,"Main Elk Ck",,0,,39.61,-107.56,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:44",12354,30,1dba371b-8236-428d-a12c-60539f42b6e1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479868
479869,CS,,,PreservedSpecimen,28e1ab41-c07b-4ec7-b1e5-e0cf1b0a4107,112508,39944,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"P Hegdal",,,1961-07-11,,1961,7,11,192,,"11 Jul 1961",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Garfield County",,"Naval Oil Shale Reserve",,0,,39.58,-107.95,WGS84,,,,,,,,2712,,,,,8898ft.,,en,,"2017-01-16 20:44:44",12368,30,28e1ab41-c07b-4ec7-b1e5-e0cf1b0a4107,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479869
479870,CS,,,PreservedSpecimen,fd304f0c-fe9f-493a-8ff4-76fcac6930a2,112492,59463,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"W Erickson & Dick Bartmann 697",,,1979-07-13,,1979,7,13,194,,"13 Jul 1979",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Garfield County",,"Ridge between W branch of Cow Ck & Bitter Ck",,0,,39.68,-108,WGS84,,,,,,,,2408,,,,,7901ft.,,en,,"2017-01-16 20:44:43",12352,30,fd304f0c-fe9f-493a-8ff4-76fcac6930a2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479870
479871,CS,,,PreservedSpecimen,c5eee110-bdde-460c-a361-9573b4f2619a,112510,67761,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"R Popp & J Riefler 82-373",,,1982-07-13,,1982,7,13,194,,"13 Jul 1982",,"loam of SE-facing slope",,,,,,,,,,,"Amelanchier, Oryzopsis",,,,,,1,,,,,,,,"United States",US,Colorado,"Garfield County",,"W Fork of Middle Stewart Gulch, 1/2 mi S of Rio Blanco Co Line",,0,,39.68,-108.19,WGS84,,,,,,,,2280,,,,,7481ft.,,en,,"2017-01-16 20:44:42",12370,30,c5eee110-bdde-460c-a361-9573b4f2619a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479871
479872,CS,,,PreservedSpecimen,5aa88ea4-96e2-4f2b-a2ae-e387a1c56d6e,112552,18922,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"D Wilken et al 12617",,,1976-05-26,,1976,5,26,147,,"26 May 1976",,"loose rocky soil",,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Garfield County",,"along Hwy 139, 3.7 mi N of Mesa Co Line",,0,,39.42,-108.78,WGS84,,,,,,,,1530,,,,,5020ft.,,en,,"2017-01-16 20:44:42",12411,30,5aa88ea4-96e2-4f2b-a2ae-e387a1c56d6e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479872
479873,CS,,,PreservedSpecimen,488ad724-a2c4-468d-b141-2bd4d662f1e2,112507,32775,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"H Harrington 4904",,,1950-08-17,,1950,8,17,229,,"17 Aug 1950",,"open slope",,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Grand County",,"25 mi NW of Kremmling",,0,,40.38,-106.58,WGS84,,,,,,,,2438,,,,,7999ft.,,en,,"2017-01-16 20:44:42",12367,30,488ad724-a2c4-468d-b141-2bd4d662f1e2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479873
479874,CS,,,PreservedSpecimen,8f8cac82-65bf-44cd-b337-7ed79f2d03ed,112549,75758,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"J.E. Tear, Jr. 822",,,1993-08-10,,1993,8,10,222,,"10 Aug 1993",,"gravelly soil along a disturbed roadside of gentle south slope",,,,,,,,,,,sagebrush,,,,,,1,,,,,,,,"United States",US,Colorado,"Grand County",,"Rabbit Ears Range; Along FS112, at the road to Corral Peaks",,0,,40.12,-106.16,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:42",12408,30,8f8cac82-65bf-44cd-b337-7ed79f2d03ed,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479874
479875,CS,,,PreservedSpecimen,1e77a80b-c27c-452e-93bb-e9660f1c00c6,112506,39183,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"N Russell 10398",,,1959-07-15,,1959,7,15,196,,"15 Jul 1959",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Gunnison County",,"2-6 mi N of Crested Butte by old Gothic Rd",,0,,38.89,-106.97,WGS84,,,,,,,,2743,,,,,9000ft.,,en,,"2017-01-16 20:44:41",12366,30,1e77a80b-c27c-452e-93bb-e9660f1c00c6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479875
479876,CS,,,PreservedSpecimen,036419ac-291d-4074-b4ea-d94eb02d1ac1,112553,41733,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heliomeris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Heliomeris multiflora",3820,Nutt.,Heliomeris,,multiflora,,,,,Species,,,,,,,,"J Barrell 148-60",,,1960-07-25,,1960,7,25,207,,"25 Jul 1960",,,,,,,,,,,,,,,,,,,1,,,,,,,,"United States",US,Colorado,"Gunnison County",,"Cabin Ck Cow Camp ca 10 mi NE of Gunnison",,0,,38.52,-106.81,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:44:41",12412,30,036419ac-291d-4074-b4ea-d94eb02d1ac1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479876
