id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
19799083,ALAM,,,PreservedSpecimen,ff63c87a-7d67-45a9-a3c8-8f915d539762,ALAM-V-0003671,03424,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"A. A. Colville",,24,1976-09-29,,1976,9,29,273,,"29 September 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",US,Colorado,"Rio Grande",,"Embargo Creek, ca. 10 miles N. of U.S. 160.",,0,,37.783333,-106.583333,WGS84,500,"37° 47' N 106° 35' W","Alexander Henrie","SoRo; Biogeomancer Guide to Best Practices in Georeferencing",GEOLocate,"reviewed - high confidence","Georeferenced to Embargo Creek, ca. 10 miles north on U.S. 160; Georeferenced 10/28/2021",2743,,,,,"9000 ft.",,,ajh486,"2018-05-14 00:00:00",,385,ff63c87a-7d67-45a9-a3c8-8f915d539762,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19799083
19799084,ALAM,,,PreservedSpecimen,35f70e5e-6dec-4a99-8ccb-ad6b08813c29,ALAM-V-0003672,06005,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"H. Dixon",,4381,1984-09-01,,1984,9,1,245,,"1 September 1984","Adams State College Herbarium, Alamosa, Colorado.",Spruce-fir-aspen.,,,,,,,,,,,,,,,,,,,,,,,,,"United States",US,Colorado,Conejos,,"3 miles ESE Cumbres Pass, Apache Can. Road.",,0,,37,-106.4,WGS84,1500,"37° 00' N 106° 24' W","Alexander Henrie","SoRo; Biogeomancer Guide to Best Practices in Georeferencing",GEOLocate,"reviewed - high confidence","Georeferenced ca. 3 miles ESE of Cumbres Pass, along Apache Canyon Road; Georeferenced 10/28/2021",2987,,,,,"9800 ft.",,,avieder,"2018-05-14 00:00:00",,385,35f70e5e-6dec-4a99-8ccb-ad6b08813c29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19799084
19799085,ALAM,,,PreservedSpecimen,6a79e866-e4cc-4cdb-a4bf-9d43b0e6f981,ALAM-V-0003673,06380,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"H. Dixon",,4675,1985-09-02,,1985,9,2,245,,"2 September 1985","ALAM; Adams State College Herbarium; Plants of the San Luis Basin.","Spruce-fir meadows, heavily overgrazed.",,,,,,,,,,,,,,,,,,,,,,,,,"United States",US,Colorado,Conejos,,"Spruce Hole, ca 3 miles E La Manga Pass.",,0,,37.083333,-106.35,WGS84,500,"37° 05' N 106° 21' W","Alexander Henrie","SoRo; Biogeomancer Guide to Best Practices in Georeferencing",GEOLocate,"reviewed - high confidence","Georeferenced to Spruce Hole, ca. 3 miles east of La Manga Pass; Georeferenced 9/28/2021",3170,,,,,"10400 ft.",,,avieder,"2018-05-14 00:00:00",,385,6a79e866-e4cc-4cdb-a4bf-9d43b0e6f981,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19799085
22004142,GREE,GREE,,PreservedSpecimen,02131f15-03c0-43fb-9db5-74663ea1edb3,31688,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,"Hartman, Ronald L.",,,,,,,"Hartman, Ronald L.","S. Markow",53487,1995-08-13,,1995,8,13,225,,8/13/95,,"Open slopes and stream.",,,,,,,,,,,,,,,,,,,,,,,,,"United States",US,Wyoming,"Teton County",,"Moujnt Lleidy Highland Area: Black Rock Creek and adjacent hills, 0.5 air mi. W of the east end of Forest Road 100",,0,,43.8145186,-110.1906942,WGS84,2500,"T44N R111W sec4, NW1/4",,,,,,,,,,,2743.2,,,,"2025-04-23 02:12:04",02131f15-03c0-43fb-9db5-74663ea1edb3,388,d6f3b610-a786-42d0-8c90-4542d3a75911,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22004142
23531276,UCR,,,PreservedSpecimen,UCR-BPS-290272,,UCR-290272,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,"T.B. Salvato",2019,,,,,,"Tom Schweich",,1998,2018-07-24,,2018,7,24,205,,2018-7-24,,,,,,,,,,,,,,"Flowering & Fruiting",,,,,,,,,"North America",,,,"United States",US,Colorado,Lake,,"Brumley, on a terrace beside the North Fork of Lake Creek, between Twin Lakes and Independence Pass c. 11 miles west on CO Hwy 82 from the town of Twin Lakes",,0,,39.0895,-106.54189,,,,,,"Collector GPS",,,3214,,,,,,,,,"2026-01-24 19:11:51",3600803,9,0ac7afe0-f162-4c6c-91ee-cc08402c8f96,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=23531276
24205640,OBI,,,PreservedSpecimen,cc299b5b-0fca-4b28-ab3e-520c7c1adb27,OBI124863,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,"David J. Keil",2024,,,,,,"Tom Schweich",,1998,2018-07-24,,2018,7,24,205,,24-Jul-18,"Plants of Colorado. Brumley was a stage stop on the route across Independence Pass.; perennial, to 7- cm., clumped; leaves, sheath 80 mm, open, glabrous, ligule membranous, 1 mm, auricles absent, blade 150 mm x 1.7 mm wide, revolute, sparsely scabrous; inflorescence 1 per culm, > leaves, panicle 100 mm x 12 mm wide, spikelets many; axis not extended, glabrous; spikelets many, 6 mm x 1 mm wide excluding awn, similar, borne singly, pedicels 1.2-6.0 mm, 1-flowered; compression unremarkable; disarticulation above the glumes; glumes subequal, lower 7 mm x 1 mm wide, veins #1 upper 6.5 mm x 1.3 mm wide = lowest floret, veins #3 rounded, membranous, tip extended sharp soft point, not really an awn; florets 1 per spikelet, bisexual; callus 0.5 mm, pointed but not sharp like other cogeners, short, straight, white hairs; lemma 4 mm [less than or equal to] glumes, ovate, color tan, stiff but not hard, hairs slightly longer and more dense distally than proximally, straight, longest 1.2 mm, color white, veins #3, parallele, then converging at awn, tip 2-forked, awns #1 17 mm, attached at end of lemma, scabrous, bent twice, twisted, terminal segment straight; palea 3.5 mm, < lemma, 87% length of lemma, membranous, hairy, hairs extending beyond tip, tip entire, color tan; anthers, 1.4 mm; achene 3 mm, green",,,,,,,,,,,,"herbariumSpecimenDuplicate: Stipa lettermanii",,,,,,,,"pressed herbarium specimen",,"North America",,,,"United States",US,Colorado,Lake,,"Brumley; On a terrace beside the North Fork of Lake Creek, between Twin Lakes and Independence Pass, about 11 mi. generally west on Colorado Highway 82 from the town of Twin Lakes.",,0,,39.08949042,-106.5418332,"WGS 1984",,,,,,,,3214,,,,,,,,,"2025-02-12 20:40:21",2207128,306,8ab5d74b-9ad2-4da4-98fa-ed30e3517fc7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24205640
24483314,NPS,DINO,,PreservedSpecimen,9f4de1ba-9fec-4b7d-be20-25115343d61e,DINO1116,"DINO 7674",Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"S. O'Kane",,3102,1987-06-14,,1987,6,14,165,,"14 June 1987","Accession #. DINO-00199","Infrequent; in shade beneath Pinus, with Pinus, Juniperus and Cercopcarpus ledifolius","Uinta Mountain Group Sandstone",tufted,,,,,,,,,,Flower,,,,,,,,,,,,,"United States",US,Colorado,Moffat,,"Dinosaur National Monument; Westernmost end of Douglas Mountain, at Green River Escarpment.",,0,,40.651478,-108.914095,WGS84,305,"T8N R103W SEC13 NE¼ of NE¼ of NE¼","S. Robins",,GeoLocate,Verified,"1/4 1/4 section centroid",2329,,,,,"7640 ft",,,SandraRobins,"2025-06-28 00:20:08",,461,9f4de1ba-9fec-4b7d-be20-25115343d61e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24483314
24483329,NPS,DINO,,PreservedSpecimen,c36a9d1f-d256-487b-b627-73019d412503,DINO1117,"DINO 9539",Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"B. Neely",,4461,1987-06-28,,1987,6,28,179,,"28 June 1987","Accession #. DINO-00199","On sandy soil of gentle slope along ridge, S exposure with scattered Pinus ponderosa and Cercocarpus ledifolius. Locally common.","Uinta Mtn. Group Fm.",,,,,,,,,,,"Flower & Fruit",,,,,,,,,,,,,"United States",US,Colorado,Moffat,,"Dinosaur National Monument; N-S ridge NE of Zenobia Peak, ca 0.5 mi E of Zenobia Basin",,0,,40.627189,-108.858787,WGS84,500,"T8N R102W SEC21 SE¼ of SE¼","S. Robins",,GeoLocate,Verified,"1/4 1/4 section centroid",2621,,,,,"8600 ft",,,SandraRobins,"2025-06-28 00:20:08",,461,c36a9d1f-d256-487b-b627-73019d412503,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24483329
24483340,NPS,DINO,,PreservedSpecimen,a2477b05-69e5-4ad2-ba97-491dbf72d684,DINO1118,"DINO 9356",Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"B. Neely",,4402,1987-06-15,,1987,6,15,166,,"15 June 1987","Achnatherum lettermanii (Vasey) Barkworth, det by W.A. Weber, August 30,1994. Original ID as Stipa lettermanii (Vasey).","On disturbed sites of canyon bottom with Artemisia tridentata, Juniperus osteosperma and Bromus.","Madison Formation","In large tufts.",,,,,,,,,,"Flower & Fruit",,,,,,,,,,,,,"United States",US,Colorado,Moffat,,"Dinosaur National Monument; Limestone Draw, ca 3/4 mi S of Limestone Springs.",,0,,40.582739,-108.927195,WGS84,302,"T7N R103W SEC1 SW¼ of SW¼","S. Robins",,GeoLocate,Verified,"1/4 1/4 section centroid",2170,,,,,"7120 ft",,,SandraRobins,"2025-06-28 00:20:08",,461,a2477b05-69e5-4ad2-ba97-491dbf72d684,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24483340
27559374,MESA,,,PreservedSpecimen,bee9a2ef-3023-4709-aad2-b91a2c43ae9e,MESSA09953,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermanii",7040,Vasey,Stipa,,lettermanii,,,,,Species,,,,,,,,"Nora Oviatt",,141,2020-07-31,,2020,7,31,213,213,,,"dry sandy soil in meadow that is usually wet",,,,,,,,,,,,,,,,,,,,,,,,,"United States",US,Colorado,Mesa,,"Grand Mesa, Skyway cross country ski area, on dirt road by where road is blocked off in the summer",,0,,39.042317,-108.062367,WGS84,300,"39 2.539' N, 108 3.742' W","Alexander Henrie","SoRo; Biogeomancer Guide to Best Practices in Georeferencing",GeoLocate,"reviewed - high confidence","Georeferenced using verbatim coordinates to determine locality; Georeferenced 11/09/2020",3221,,,,,"10566 ft",,,Stern,"2025-06-28 00:20:08",,123,bee9a2ef-3023-4709-aad2-b91a2c43ae9e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=27559374
21973135,MESA,,,PreservedSpecimen,980cb004-a7e1-411a-8f8b-7eb9a0a5a39b,MESA09828,"Mesa 7763",Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Stipa,Plantae,Magnoliophyta,,Poales,Poaceae,"Stipa lettermannii",227179,Vasey,Stipa,,lettermannii,,,,,Species,,,,,,,,"John Anderson",,87-110,1982-07-22,,1982,7,22,203,,,,"growing in sedge/grass meadow on bench (ole floodplain) above S side of Creek",,,,,,,,,,,"snowberry and shrubbby cinquefoil, Hymenoxys helenioides (8 plants),and Helenium hoopesii (35 plants) and Hymenoxys richardsonii",,,,,,,,,,,,,,"United States",US,Colorado,Costilla,,"Sangre de Cristo Mts, along Hwy 160 and Sangre de Cristo Cree, O.S miles below(w) old La Veta Pass turnoffq",,0,,37.599319,-105.2374095,WGS84,1000,,"Alexander Henrie","SoRo; Biogeomancer Guide to Best Practices in Georeferencing",GeoLocate,"reviewed - high confidence","Georeferenced along Highway 160 below turn off to La Veta Pass; Georeferenced 11/20/2020",2725,,,,,"2725 m",,,Stern,"2025-06-28 00:20:08",,123,980cb004-a7e1-411a-8f8b-7eb9a0a5a39b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21973135
