id,institutio,collection,ownerInsti,basisOfRec,occurrence,catalogNum,otherCatal,higherClas,kingdom,phylum,class,order_,family,scientific,taxonID,scientif_1,genus,subgenus,specificEp,verbatimTa,infraspeci,cultivarEp,tradeName,taxonRank,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,associated,recordNumb,eventDate,eventDate2,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,substrate,verbatimAt,behavior,vitality,fieldNumbe,eventID,informatio,dataGenera,dynamicPro,associat_1,associat_2,reproducti,establishm,cultivatio,lifeStage,sex,individual,samplingPr,preparatio,locationID,continent,waterBody,islandGrou,island,country,countryCod,stateProvi,county,municipali,locality,locationRe,recordSecu,securityRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,sourcePrim,collID,recordID,references
26967721,BHSC,BHSC,BHSC,PreservedSpecimen,9e309f17-2321-484d-9495-065f56fbaddf,BHSC0017712, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species,M.L. Kravig, , , , , , ,"Bennett, Frank L.", ,s. n.,1938-07-24, ,1938,7,24,205,0,24 Jul 1938, ,Open pine, , , , , , , , , , , ,flowering, ,0, , ,0, , , , , , , ,United States,US,Wyoming,Crook, ,Northern Black Hills; Cement Ridge; T50N R60W S5, ,0, ,44.349319999999999,-104.083070000000006, ,0,44.3493200000° -104.0830700000°, ,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,6300, , , ,4/23/2025 0:00:00, ,132,9e309f17-2321-484d-9495-065f56fbaddf,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967721
26967722,BHSC,BHSC,BHSC,PreservedSpecimen,8c06312a-5990-45d8-ad87-3cb6e95c78e7,BHSC0017713, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species,M.L. Kravig, , , , , , ,"Bennett, Frank L.", ,s. n.,1938-07-24, ,1938,7,24,205,0,24 Jul 1938, ,Open pine, , , , , , , , , , , ,flowering, ,0, , ,0, , , , , , , ,United States,US,Wyoming,Crook, ,Northern Black Hills; Cement Ridge; T50N R60W S5, ,0, ,44.349319999999999,-104.083070000000006, ,0,44.3493200000° -104.0830700000°, ,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,6300, , , ,4/23/2025 0:00:00, ,132,8c06312a-5990-45d8-ad87-3cb6e95c78e7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967722
26967755,BHSC,BHSC,BHSC,PreservedSpecimen,c8835be4-ee8c-4acb-92b9-82a789a811e3,BHSC0032690, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,"Lancaster, Julie", ,149,2003-07-24, ,2003,7,24,205,0,24 Jul 2003,Rays purple; flowers with very light fragrance,Low ground near creek, , , , , , , , , , , ,flowering, ,0, , ,0, , , , , , , ,United States,US,South Dakota,Lawrence, ,"T5N R2E S19; Spearfish Creek, Long Valley Picnic area ca. 8 miles south and 2.75 miles west of the Black Hills National Forest boundary", ,0, ,44.380839999999999,-103.920379999999994, ,0,44.3808400000° -103.9203800000°, ,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,4760, , , ,6/28/2025 0:00:00, ,132,c8835be4-ee8c-4acb-92b9-82a789a811e3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967755
26967761,BHSC,BHSC,BHSC,PreservedSpecimen,e965d404-e2dc-4193-8be3-b80374bbe31f,BHSC0040152, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species,G.M. Kostel,May 2007, , , , , ,"Rogers, Dilwyn J.", ,s. n.,1970-08-06, ,1970,8,6,218,0,"August 6, 1970", ,Crystalline soil of spruce overstory; Stand #16, , , , , , , , , , , ,budding, ,0, , ,0, , , , , , , ,United States,US,South Dakota,Lawrence, ,T3N R4E S17 NW1/4, ,0, ,44.220080000000003,-103.665059999999997, ,0,44.2200800000° -103.6650600000°,Kostel,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,5600, , , ,4/23/2025 0:00:00, ,132,e965d404-e2dc-4193-8be3-b80374bbe31f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967761
26967763,BHSC,BHSC,BHSC,PreservedSpecimen,8b97f260-75be-4b4f-9f26-8605767194af,BHSC0040860, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,"Kostel, Grace M.", ,11190,2007-07-23, ,2007,7,23,204,0,"July 23, 2007", ,Picea glauca forest in steep canyon drainage with NE-aspect; soils are loam with an occasional granite outcrop, , , , , , , , , , , ,flowering, ,0, , ,0, , , , , , , ,United States,US,South Dakota,Pennington, ,"T2N R2E S35 NW1/4; Black Hills National Forest; North Fork Castle Creek Research Natural Area, ca. 1.5 miles NNW of Flag Mountain", ,0, ,44.089770000000001,-103.845209999999994, ,0,44.0897700000° -103.8452100000°, ,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,6200-6800, , , ,6/28/2025 0:00:00, ,132,8b97f260-75be-4b4f-9f26-8605767194af,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967763
26967771,BHSC,BHSC,BHSC,PreservedSpecimen,eb6e9747-a716-47ff-ab1a-a93a5490c889,BHSC0042209, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,"Kostel, Grace M.", ,11213,2007-07-23, ,2007,7,23,204,0,"July 23, 2007", ,Picea glauca forest in steep canyon drainage with NE-aspect; soils are loam with an occasional granite outcrop, , , , , , , , , , , ,flowering, ,0, , ,0, , , , , , , ,United States,US,South Dakota,Pennington, ,"T2N R2E S35 NW1/4; Black Hills National Forest; North Fork Castle Creek Research Natural Area, ca. 1.5 miles NNW of Flag Mountain", ,0, ,44.089770000000001,-103.845209999999994, ,0,44.0897700000° -103.8452100000°, ,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,6200-6800, , , ,6/28/2025 0:00:00, ,132,eb6e9747-a716-47ff-ab1a-a93a5490c889,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967771
26967772,BHSC,BHSC,BHSC,PreservedSpecimen,e7cf29d5-3154-4f72-a26e-d1cc0742c732,BHSC0042480, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,"Jangula, Joshua", ,105,2008-08-14, ,2008,8,14,227,0,"August 14, 2008", ,Soils are alluvial sand and loam in open sunny site, , , , , , , , , , , ,flowering, ,0, , ,0, , , , , , , ,United States,US,South Dakota,Pennington, ,T1N R4E S3; Black Hills National Forest Canyon City Research Natural Area, ,0, ,44.075080000000000,-103.624769999999998, ,0,44.0750800000° -103.6247700000°, ,SoRo Project; GeoReference Best Practices,GeoLocate, , ,0,0, , , ,4792, , , ,6/28/2025 0:00:00, ,132,e7cf29d5-3154-4f72-a26e-d1cc0742c732,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26967772
27200146,CS, , ,PreservedSpecimen,2b7ba661-9e85-4121-bd2c-286a25b75ed4,174236,98265,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species,David Rosenthal, , , , , , ,Ronald L. Hartman David Rosenthal, ,55723,1996-08-12, ,1996,8,12,225,0,12 Aug 1996, , , , , , , , , , , , , , , ,0, , ,1, , , , , , , ,United States,US,Wyoming,Park County, ,"Northern Absaroka Area: Sulfur Creek, 2-4 air mi NE of Sunlight Peak.", ,0, ,44.649999999999999,-109.689999999999998,WGS84,0, , , , , , ,2195,0, , , ,7200ft., ,en, ,1/16/2017 0:00:00,89230,30,2b7ba661-9e85-4121-bd2c-286a25b75ed4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=27200146
27208878,CS, , ,PreservedSpecimen,80bfa382-1121-4b5e-a04b-3a3eaf62839c,182955,108988,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,David Rosenthal, ,590,1996-08-09, ,1996,8,9,222,0,9 August 1996, ,Alpine meadow and talus slopes, , , , , , , , , , , , , ,0, , ,1, , , , , , , ,United States,US,Wyoming,Fremont County, ,Wind River Range: Fitzpatrick Wilderness Area: Shoshone National Forest: ca 15 air mi S of Dubois. Also S16., ,0, ,43.329999999999998,-109.579999999999998,WGS84,0, , , , , , ,3200,0, , , ,10500ft., ,en, ,1/16/2017 0:00:00,97801,30,80bfa382-1121-4b5e-a04b-3a3eaf62839c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=27208878
27511002,OBI, , ,PreservedSpecimen,bd3de349-3ad0-432f-8867-d4af83feb9af,OBI168516, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,David Keil; Melissa Luckow; Peter Bretting, ,17675,1983-08-06, ,1983,8,6,218,0,6 August 1983,"locally common in grassy field; rays purple, disk yellow",Ponderosa pine parkland area with grassy understory. Grassy field, , , , , , , , , , , , , ,0, , ,0, ,pressed herbarium specimen, ,North America, , , ,United States,US,South Dakota,Pennington, ,"Ca. 4.4 mi W of Rochford along road 231, Black Hills National Forest.", ,0, ,44.135615999999999,-103.787165999999999,WGS84,800, ,Dylan Stephens (2020-11-19 12:58:17), ,georef batch tool 2020-11-19; GeoLocate, ,"Measured along road, then halfway to hwy 251",1585,0, , , ,5200 ft, , ,kdpearso,2/12/2025 0:00:00,3793156,306,54110390-6059-460b-a230-bdf017facb5c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=27511002
27511084,OBI, , ,PreservedSpecimen,6065e2f3-4f80-46ba-8678-d2ed4fe9723d,OBI168522, ,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta, ,Asterales,Asteraceae,Erigeron speciosus,231,(Lindl.) DC.,Erigeron, ,speciosus, , , , ,Species, , , , , , , ,David Keil; Kathleen Keil, ,RM-7,1990-07-23, ,1990,7,23,204,0,23 July 1990,"occasional in meadow; rays purple, disk yellow",In meadow. Lodgepole pine forest and meadows. Scattered subalpine fir. Understory dominated by Vaccinium., , , , , , , , , , ,scattered subalpine fir; Vaccinium, , ,0, , ,0, ,pressed herbarium specimen, ,North America, , , ,United States,US,Wyoming,Sheridan, ,"Bighorn Mountains. Bighorn National Forest. Ca. 1/2 mile along Black Mountain Road, south of US Route 14.; 44.78 107.402", ,0, ,44.780000000000001,-107.402000000000001, ,0, , , ,collector, , ,2438,0, , , ,8000 ft, , ,kdpearso,2/12/2025 0:00:00,3793346,306,92903dcd-c9fa-4f7e-911e-b4ee1e609637,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=27511084
